R_ID	SeqId	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	Organism	Units	Type
A2M	3708-62_1	SL000252	Alpha-2-macroglobulin	a2-Macroglobulin	P01023	2	A2M	Human	RFU	Protein
ABL1	3341-33_4	SL006892	Tyrosine-protein kinase ABL1	ABL1	P00519	25	ABL1	Human	RFU	Protein
ABL2	5261-13_3	SL010488	Abelson tyrosine-protein kinase 2	ABL2	P42684	27	ABL2	Human	RFU	Protein
ACAN	3280-49_2	SL004661	Aggrecan core protein	Aggrecan	P16112	176	ACAN	Human	RFU	Protein
ACE2	2805-6_2	SL004415	Angiotensin-converting enzyme 2	ACE2	Q9BYF1	59272	ACE2	Human	RFU	Protein
ACP1	3858-5_1	SL008063	Low molecular weight phosphotyrosine protein phosphatase	PPAC	P24666	52	ACP1	Human	RFU	Protein
ACP5	3232-28_2	SL004118	Tartrate-resistant acid phosphatase type 5	TrATPase	P13686	54	ACP5	Human	RFU	Protein
ACVR1B	2806-49_2	SL004128	Activin receptor type-1B	Activin RIB	P36896	91	ACVR1B	Human	RFU	Protein
ACVRL1	2969-11_1	SL004851	Serine/threonine-protein kinase receptor R3	ALK-1	P37023	94	ACVRL1	Human	RFU	Protein
ACY1	3343-1_4	SL005574	Aminoacylase-1	Aminoacylase-1	Q03154	95	ACY1	Human	RFU	Protein
ADAM12	4420-7_2	SL009988	Disintegrin and metalloproteinase domain-containing protein 12	ADAM12	O43184	8038	ADAM12	Human	RFU	Protein
ADAM9	3795-6_2	SL004642	Disintegrin and metalloproteinase domain-containing protein 9	ADAM 9	Q13443	8754	ADAM9	Human	RFU	Protein
ADAMTS1	3174-2_1	SL008421	A disintegrin and metalloproteinase with thrombospondin motifs 1	ATS1	Q9UHI8	9510	ADAMTS1	Human	RFU	Protein
ADAMTS13	3175-51_5	SL006610	A disintegrin and metalloproteinase with thrombospondin motifs 13	ATS13	Q76LX8	11093	ADAMTS13	Human	RFU	Protein
ADAMTS15	4533-76_2	SL012740	A disintegrin and metalloproteinase with thrombospondin motifs 15	ATS15	Q8TE58	170689	ADAMTS15	Human	RFU	Protein
ADAMTS4	2809-25_2	SL004625	A disintegrin and metalloproteinase with thrombospondin motifs 4	ADAMTS-4	O75173	9507	ADAMTS4	Human	RFU	Protein
ADAMTS5	3168-8_2	SL004626	A disintegrin and metalloproteinase with thrombospondin motifs 5	ADAMTS-5	Q9UNA0	11096	ADAMTS5	Human	RFU	Protein
ADCYAP1	8446-4_3	SL011508	Pituitary adenylate cyclase-activating polypeptide 27	PACAP-27	P18509	116	ADCYAP1	Human	RFU	Protein
ADCYAP1.1	8450-36_3	SL011498	Pituitary adenylate cyclase-activating polypeptide 38	PACAP-38	P18509	116	ADCYAP1	Human	RFU	Protein
ADGRE2	4546-27_3	SL008822	Adhesion G protein-coupled receptor E2	EMR2	Q9UHX3	30817	ADGRE2	Human	RFU	Protein
ADGRG5	4551-72_3	SL014094	Adhesion G-protein coupled receptor G5	GP114	Q8IZF4	221188	ADGRG5	Human	RFU	Protein
ADIPOQ	3554-24_1	SL004258	Adiponectin	Adiponectin	Q15848	9370	ADIPOQ	Human	RFU	Protein
ADM	14115-34_3	SL002782	Adrenomedullin	Adrenomedullin	P35318	133	ADM	Human	RFU	Protein
ADRBK1	3347-9_2	SL002792	beta-adrenergic receptor kinase 1	BARK1	P25098	156	ADRBK1	Human	RFU	Protein
ADSL	5023-23_1	SL009792	Adenylosuccinate lyase	PUR8	P30566	158	ADSL	Human	RFU	Protein
