protein_name	eff_size	p_value	p_value_sex
A2M	-1.23146004733986	0.300432720699113	0.646478971754997
ABL1	-1.03917269041639	0.498239687994934	0.693382106826644
ABL2	5.8769016797966	0.0627509618782875	0.60419455344196
ACAN	-3.03866015372459	0.127428534298614	0.714706988547617
ACE2	8.12622148661554	0.00223379066941767	0.98481116318256
ACP1	-0.166330360824133	0.811761328372694	0.747047462324916
ACP5	3.3061147619278	0.103849811770999	0.622124926785648
ACVR1B	17.2946748617098	3.81873725187317e-05	0.497688212305028
ACVRL1	1.72207443596118	0.480290750546305	0.720034921987124
ACY1	-0.408940292973653	0.709833819429193	0.812145425931348
ADAM12	1.24525555752814	0.453553402629403	0.797958294900652
ADAM9	-0.499481824787438	0.555889457115253	0.845606238652918
ADAMTS1	4.54402975462197	0.0703376863525208	0.824910178137291
ADAMTS13	-17.5164560382412	8.04773584621494e-06	0.635975081066501
ADAMTS15	13.2112405816269	0.000271921445598159	0.774215943502824
ADAMTS4	1.47712744922455	0.44755159201023	0.690930320946923
ADAMTS5	14.1841880985467	6.49078068621296e-07	0.632068315230156
ADCYAP1	-1.05648467078498	0.186288235038274	0.822391814094698
ADCYAP1.1	3.99021749984565	0.0872151642245863	0.842909456275257
ADGRE2	2.73444723454643	0.22509513983142	0.640232530449721
ADGRG5	8.25038307868263	0.0370631596920111	0.812301818475141
ADIPOQ	4.17635944090186	0.00858056503785387	0.655011423040246
ADM	5.8572113186399	0.169168644092048	0.933544795667513
ADRBK1	-1.01910329602422	0.224589549208513	0.638825726537396
ADSL	1.82440192497142	0.048834583502126	0.688803988808851
AFM	-1.34632500979513	0.612705370694687	0.713276546738748
AFP	9.13936188566253	0.00670070036281248	0.999381285938923
AGER	0.179662709301958	0.862741595377789	0.78449291734025
AGR2	14.0220330704538	0.00349232363952377	0.814726580306934
AGRP	-10.5750504745032	0.000126384212489407	0.492674051703718
AGT	4.55233785930657	0.145839675791803	0.992126005973909
AHSG	-15.5476621652359	0.00101881758261598	0.853778514865958
AIF1	13.6773847241595	0.001071944349467	0.925591925030468
AIMP1	-3.35966804512204	0.0836875265219996	0.853923030305395
AIP	0.863451002399473	0.458650423744526	0.791546048943988
AK1	2.49343143038584	0.0166525170117255	0.621679561427123
AKR1A1	4.84864811098398	0.0130139848860799	0.582165227746922
AKR7A2	-0.115850261920636	0.868258532646341	0.747057464384311
AKT1.AKT2.AKT3	-1.38273744375608	0.159462805797698	0.635938959307549
AKT2	-1.05841293924188	0.268217873756726	0.684512601853572
ALB	11.791277096477	0.00621660181191334	0.265198993000337
ALCAM	8.6500171730785	0.0248236534212991	0.767770851842002
ALDOA	-3.7443160390508	0.033966854251498	0.605181200552612
AMH	2.89893234425706	0.426789685850026	0.768622794587401
AMICA1	0.202362234061003	0.911690600593812	0.746856049066666
AMIGO2	-4.31973376448271	0.156147173784273	0.67132839371379
AMN	5.02873484235784	0.0325417769465492	0.881793460285922
ANG	3.34872686285705	0.209706754366739	0.524708408679677
ANGPT1	8.17483167825377	0.000415960304081972	0.886088539647063
ANGPT2	7.28664339190541	0.000282662075991863	0.997150651517912
ANGPT4	13.0924988135263	0.00152709137735461	0.503898546171063
ANGPTL3	4.55957948752746	0.0841888995907587	0.770702039253641
ANGPTL4	11.8227038143293	0.000148823722567406	0.0436329674954084
ANK2	21.4647958694933	5.53728438147938e-05	0.61794526889929
ANP32B	9.28020529883744	0.000332492542111312	0.48867649012231
ANXA1	4.2931316158812	0.0255096610120915	0.875523984568895
ANXA2	3.00532413459587	0.127827056770458	0.859755304047014
ANXA5	1.77475782898427	0.401981742649397	0.792979579919537
ANXA6	2.20416768438102	0.00282581413861551	0.887514311018814
APCS	3.65862056910829	0.197521773152033	0.505259008068416
APOA1	-4.14589688352863	0.106228000960112	0.742514959634675
APOB	3.82612242320664	0.00436706607146411	0.863720360451622
APOD	0.741675865954543	0.507876700970765	0.771756735107374
APOE	0.230891631132133	0.815308443588321	0.767454703411491
APOE.1	-0.986862539773919	0.648291250687887	0.745687011671019
APOE.2	-4.49815157316631	0.151116238728343	0.825892011356284
APOE.3	-9.02846385462598	0.0721884981661559	0.893795409511555
APOL1	-18.423848692171	1.01449961544265e-05	0.485750904001349
APOM	-3.02438958762413	0.101552615897054	0.721402680754746
APP	3.68012622309362	0.00264629893270286	0.927898284931321
AREG	1.60254457117119	0.141450612967101	0.736141348752469
ARG1	2.74023677604806	0.121937721724538	0.693560675067497
ARID3A	2.28543785915861	0.103504053199366	0.894027664685498
ARPP19	2.72570628368157	0.0261327930431021	0.824547424103862
ARSA	5.93061135400948	0.0541297011292991	0.641297136028596
ARSB	-1.76109717722551	0.147160188388751	0.689872421585924
ARTN	7.80704897201815	0.012514461653977	0.82681614087845
ASAH2	0.41425304842886	0.732374960511319	0.792867782021168
ASGR1	-6.96398975540025	0.000135345376328855	0.835823337429624
ATP5B	1.28233761651651	0.626542552362934	0.707127298372448
ATP5O	-1.81748894579657	0.0107210550494357	0.607068772107331
AURKA	3.23412870212519	0.182498797954919	0.801098205255496
AURKB	0.425634641853853	0.807833375498727	0.744848283431468
AZU1	8.26282879205873	0.000922354679189368	0.434637023318934
B2M	11.1125945079645	0.000210839319794826	0.508400598495441
BAD	1.38260675839025	0.180687550564785	0.797782092796328
BCAM	9.77452834071498	0.00131714006316645	0.656068583721245
BCAN	-4.34640366430151	0.0220283645228048	0.553731906647303
BCAR3	-1.22541090872095	0.578476098660996	0.721673541008578
BCL2	7.27882640446137	0.00547336963889833	0.54840133187297
BCL2A1	30.5449389332358	7.26307850172823e-06	0.242671991024088
