protein_name	p_male	beta_male	corr_male	p_female	beta_female	corr_female	p_all	beta_all	corr_all
A2M	0.990156287527628	-1.18961695362417e-05	-0.0013666168857083	0.000414164717229137	-0.00284399590531818	-0.37035268127897	0.0219753857035124	-0.00146046251477766	-0.175109898407618
ABL1	0.0860967096718349	0.000945355926036517	0.1884118557707	0.706190255433777	-0.000311788944888614	-0.0409921439692578	0.548795230832914	0.000300908969615711	0.0461641336407155
ABL2	0.0209412971017288	0.000891819208279851	0.25163891482074	0.0147091520501541	0.00145712764318014	0.260767367638127	0.000918588624228593	0.00117940694148101	0.251219560643683
ACAN	0.840345198324921	0.000103941199385426	0.0223117927233567	0.474226127834433	-0.000320444335469459	-0.077730577791639	0.739035774927487	-0.000112872339611131	-0.0256591315513402
ACE2	0.0344200522008508	0.00137326407083916	0.231106905207112	0.00565352942024685	0.00191588373264248	0.294332866017402	0.000502753480166822	0.001645388864343	0.26328852879607
ACP1	0.617905543624977	-0.000845507989772775	-0.0552115637314215	0.604682152273742	0.000919176371588675	0.0562709088466591	0.965848943116235	5.22546115594259e-05	0.0032983342678212
ACP5	0.111512501638373	0.000878285733494964	0.174918796709964	0.157413984564739	0.000745271548051342	0.152896312651671	0.0320666643003475	0.000813430131333878	0.164014803280073
ACVR1B	0.00279885710488907	0.00117839508492038	0.322210323211806	0.0021327047355585	0.0016447061197276	0.324971273837703	2.25360228461715e-05	0.00141209589047089	0.317980056711606
ACVRL1	0.527825789627499	-0.000337150416543908	-0.0698459413220772	0.0718615815278767	0.00105372125130342	0.19394796346268	0.349255341245987	0.000371286173141126	0.0720155752215504
ACY1	0.000926184429069426	-0.00361423269113266	-0.354853597048722	0.204639128323989	-0.00115990971787896	-0.137332523879384	0.00106711819736619	-0.00235584714130888	-0.248126795885468
ADAM12	0.70514907604599	0.000292498254925261	0.0418941347544193	0.276935974315542	0.000878424437179822	0.117860975178593	0.292594527214828	0.000586084584535859	0.0809441826277391
ADAM9	0.705018932052573	0.000575603756310455	0.0419135182290372	0.274022110471481	-0.00109310793871534	-0.118573423846274	0.773148729324482	-0.000260707241572767	-0.0222038317902265
ADAMTS1	0.00581685035134679	0.0030412905445622	0.29849474803206	0.201048498515668	0.00165880025610296	0.13841822504081	0.00588807640462267	0.00233715100936474	0.209789716186866
ADAMTS13	6.60952780034697e-16	-0.00537416182033541	-0.742141336319234	1.91502835001422e-14	-0.0046959441890417	-0.707213948131689	8.60959027245226e-29	-0.00503505709289393	-0.721623342473219
ADAMTS15	1.67223756852215e-05	0.00167976642693722	0.450939252220482	0.000597591675521273	0.00180141375616095	0.360766409571487	1.12359891662143e-07	0.0017383521009157	0.392222740332088
ADAMTS4	0.534178180488689	0.000768149271616684	0.0687767104953551	5.3099909897029e-05	0.00215631998678177	0.419225199451146	0.0260830041215446	0.00147854272862585	0.170153294668516
ADAMTS5	3.96077462350142e-19	0.00615673836138965	0.790307622592152	1.79831781342432e-10	0.00397121515985516	0.618043559737177	3.26277531010434e-27	0.00504522579061164	0.70696059626363
ADCYAP1	0.878905811724999	0.000200372150782379	0.0168751239772937	0.156045702922164	-0.00291031497593342	-0.153395829867059	0.258742584322435	-0.00137877213094675	-0.0868386112106001
ADCYAP1.1	0.000513986669422647	0.00263902165079126	0.370918284630458	0.847789251380183	0.000212812774221077	0.0208778521849971	0.0391756512040866	0.00140020623105971	0.157878358014507
ADGRE2	0.426032850152729	0.000415881465427749	0.0880004758607097	0.659625994117681	-0.000230165921464928	-0.0478844940780786	0.802606377002774	9.24514182725681e-05	0.0192555563502228
ADGRG5	0.662581418123155	0.000228520750075645	0.0483058959274289	0.0438951678340244	0.000901188792264794	0.216601235646838	0.0948207879503109	0.000570473169456706	0.128158867766506
ADIPOQ	1.03574220197222e-07	0.0043759711612805	0.541634289115502	0.0210760281521243	0.00193778117177168	0.247022793715843	4.20249881946432e-07	0.00312037716251434	0.375419949626034
ADM	0.838831632344277	-5.99119256331304e-05	-0.0225261863712113	0.82392469412717	-8.19357380674661e-05	-0.0242010460811736	0.752549050232393	-7.52115214892488e-05	-0.0242846287834034
ADRBK1	0.00679939088699432	-0.00357592805348531	-0.293178678181237	0.196473266086833	0.00197873646337479	0.13982196826557	0.455677922648009	-0.000759539040909372	-0.0574207868118696
ADSL	0.571885816192134	0.00082742051258729	0.0625535481470458	0.0806913911690094	0.00235222922380572	0.188309076181585	0.104040540269256	0.00160768840217544	0.124739571286761
AFM	0.000398256391093437	-0.0017466428321426	-0.377628332981185	0.023700335498456	-0.000840859226511838	-0.242384171786704	2.76432955494655e-05	-0.00129002503863243	-0.314699641603705
AFP	0.314472619555574	0.000886857856988894	0.111074926311793	0.0128387004105583	0.00176278648077136	0.265791697926756	0.0177138187266663	0.00132899240146678	0.181182008275886
AGER	0.0245461442157272	0.00249602241605349	0.245243605175441	0.913160408674836	-0.000123845325670734	-0.011862886880376	0.163841326404836	0.00114468764319702	0.106948187621857
AGR2	0.438679904694139	0.000420255522444725	0.0856242589755055	0.175320090549725	0.000950694883183469	0.146638175596493	0.11929173880061	0.000688928894439664	0.119573599421058
AGRP	0.630027357375909	-0.000312365411728874	-0.0533180073975554	0.0277954334414203	-0.00165298577611749	-0.235953517517842	0.0449019357647265	-0.000993124287090695	-0.153585227413199
AGT	0.127769132589577	0.000556679829704445	0.167501812888532	0.938605543627618	3.42278225475502e-05	0.00837873681410764	0.332934049651823	0.000285017858959061	0.0744851140651836
AHSG	0.000403412110763421	-0.00124883875904917	-0.377293423680895	6.58425856412197e-08	-0.00140193734797858	-0.540363130962068	9.41961196396329e-10	-0.00132570652524589	-0.44636091957316
AIF1	0.0316557170231903	0.000760061616463221	0.234677493890456	3.28670799633557e-05	0.00172260648847139	0.429627061888822	4.97665749277699e-06	0.00124690673915968	0.341124555735358
AIMP1	0.00635293839726864	-0.00137825903830068	-0.295503859102759	0.00605518492227011	-0.0013812113310205	-0.292050446069998	0.000114263220385813	-0.00137541052092823	-0.290769942536981
AIP	0.273634323768088	-0.00104602449234639	-0.120817127769221	0.0039563801425847	0.00327720868949527	0.305923261549443	0.124957932311325	0.00114921430969601	0.117785324758025
AK1	0.403435477273533	0.00107867568107349	0.0923493953081248	0.000743490889925645	0.00391739275953064	0.354910394846457	0.00361176066136956	0.00252769874790434	0.221405129503376
AKR1A1	0.174945463492786	0.000954390766231169	0.14941095018386	6.9758506375166e-05	0.00328304249900572	0.413152712568821	8.72009279800598e-05	0.00214016685495309	0.295491640545165
AKR7A2	0.0830537878246757	-0.00270729807062955	-0.190230888568613	0.0393278803252028	0.00363617200205688	0.221387035551651	0.664582909441057	0.000513800434061288	0.0333934810940125
